,년도,팀명,선수명,선수id,WAR,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA
347,2016,롯데,김문호,/player/detail/759,2.22,140,599,526,171,7,77,70,62,70,12,0.364,0.325,0.401,0.430,0.831,0.376
348,2016,SK,이재원,/player/detail/554,2.14,130,472,411,119,15,49,64,43,76,1,0.318,0.290,0.364,0.436,0.800,0.352
349,2016,NC,이호준,/player/detail/821,2.07,119,472,399,119,21,46,87,65,78,3,0.322,0.298,0.396,0.506,0.902,0.388
350,2016,SK,김성현,/player/detail/562,1.99,138,530,479,153,8,66,65,33,37,3,0.329,0.319,0.366,0.428,0.794,0.352
351,2016,LG,손주인,/player/detail/311,1.88,122,409,354,114,2,47,39,33,35,5,0.349,0.322,0.385,0.412,0.797,0.362
352,2016,NC,이종욱,/player/detail/667,1.87,134,517,453,138,5,73,57,54,73,15,0.350,0.305,0.376,0.408,0.784,0.355
353,2016,KIA,브렛필,/player/detail/864,1.85,132,544,499,156,20,71,86,33,70,10,0.327,0.313,0.357,0.511,0.868,0.371
354,2016,SK,김강민,/player/detail/571,1.84,115,422,366,109,10,59,47,32,89,12,0.368,0.298,0.371,0.437,0.808,0.359
355,2016,kt,이진영,/player/detail/323,1.83,115,424,371,123,10,49,72,45,44,2,0.351,0.332,0.403,0.480,0.883,0.389
356,2016,KIA,김주형,/player/detail/124,1.82,135,387,345,97,19,43,49,34,55,1,0.287,0.281,0.355,0.499,0.854,0.368
357,2016,삼성,박한이,/player/detail/470,1.74,110,401,349,105,14,57,69,40,72,1,0.342,0.301,0.373,0.481,0.854,0.371
358,2016,SK,정의윤,/player/detail/326,1.73,144,616,576,179,27,68,100,25,76,2,0.318,0.311,0.347,0.510,0.857,0.365
359,2016,넥센,고종욱,/player/detail/272,1.72,133,566,527,176,8,92,72,28,103,28,0.399,0.334,0.370,0.455,0.825,0.365
360,2016,삼성,박해민,/player/detail/505,1.63,141,641,564,169,4,109,61,49,87,52,0.347,0.300,0.357,0.410,0.767,0.344
361,2016,SK,고메즈,/player/detail/1386,1.61,117,492,456,129,21,74,62,25,87,16,0.307,0.283,0.324,0.489,0.813,0.344
362,2016,넥센,이택근,/player/detail/234,1.44,127,460,398,123,8,64,65,53,56,7,0.338,0.309,0.389,0.422,0.811,0.365
